ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T18:11:29.572,599857.9145281,exp_20260721_181129,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671889.5730667,1784671889.5734406,0.00037384033203125,,,0,0,0
2026-07-21T18:11:29.574,599857.9161504,exp_20260721_181129,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.867806851863861,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671889.5746884,1784671891.1559722,1.5812838077545166,1.5812838077545166,,0,0,0
2026-07-21T18:11:31.156,599859.4983284,exp_20260721_181129,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,45a9485ef198ed419ef7d6a93165a68a0fe98d230167a7522600582438786be8,1,1,,,1784671891.1568923,1784671891.2571795,0.10028719902038574,,0.10028719902038574,0,0,0
2026-07-21T18:11:34.003,599862.3455429,exp_20260721_181129,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671894.0044425,1784671894.0055609,0.0011184215545654297,,,0,0,0
2026-07-21T18:11:34.008,599862.3499354,exp_20260721_181129,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8931425213813782,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671894.0086877,1784671894.3016417,0.2929539680480957,0.2929539680480957,,0,0,0
2026-07-21T18:11:34.302,599862.6440081,exp_20260721_181129,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,12f1404ae319383f67fadbb9d607b2ef4eed11b20aaba2ca4f6e3af3fbacf7ca,1,1,,,1784671894.302606,1784671894.4027703,0.10016417503356934,,0.10016417503356934,0,0,0
2026-07-21T18:11:35.947,599864.28913,exp_20260721_181129,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671895.9480174,1784671895.948964,0.0009467601776123047,,,0,0,0
2026-07-21T18:11:35.950,599864.2917115,exp_20260721_181129,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8878103494644165,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671895.9502313,1784671896.2429626,0.29273128509521484,0.29273128509521484,,0,0,0
2026-07-21T18:11:36.243,599864.5853389,exp_20260721_181129,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,1b95edce8a6fdad362770ec739f8faa74ce668ea1ea0db8209c7f45a2e2693a3,1,1,,,1784671896.2439203,1784671896.344459,0.10053873062133789,,0.10053873062133789,0,0,0
2026-07-21T18:11:37.895,599866.2375031,exp_20260721_181129,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671897.8963635,1784671897.8968518,0.00048828125,,,0,0,0
2026-07-21T18:11:37.897,599866.2392367,exp_20260721_181129,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9584768414497375,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671897.8977804,1784671898.1916041,0.2938237190246582,0.2938237190246582,,0,0,0
2026-07-21T18:11:38.192,599866.5342051,exp_20260721_181129,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e1335d50079fa52b9ba248bbefee69303fe24241eafc84eee6eb32f8a4cb26a7,1,1,,,1784671898.1928113,1784671898.2932856,0.10047435760498047,,0.10047435760498047,0,0,0
2026-07-21T18:11:40.008,599868.350237,exp_20260721_181129,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671900.008897,1784671900.0093336,0.00043654441833496094,,,0,0,0
2026-07-21T18:11:40.010,599868.3522916,exp_20260721_181129,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9799807667732239,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671900.01093,1784671900.3016772,0.29074716567993164,0.29074716567993164,,0,0,0
2026-07-21T18:11:40.302,599868.6439857,exp_20260721_181129,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,4427c81bf3641f983c2a8e28d25666b4ac317b43401e28b65a51306fe7cd39d4,1,1,,,1784671900.3025837,1784671900.4027817,0.10019803047180176,,0.10019803047180176,0,0,0
2026-07-21T18:11:42.059,599870.4008019,exp_20260721_181129,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671902.059388,1784671902.0597067,0.00031876564025878906,,,0,0,0
2026-07-21T18:11:42.060,599870.4021328,exp_20260721_181129,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9790652394294739,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671902.0606978,1784671902.3479464,0.2872486114501953,0.2872486114501953,,0,0,0
2026-07-21T18:11:42.348,599870.6904057,exp_20260721_181129,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e78b3e2db4b656b2c65ed14764dafccf3d908eed81598af348a103808ba32739,1,1,,,1784671902.3490262,1784671902.4493275,0.10030126571655273,,0.10030126571655273,0,0,0
2026-07-21T18:11:44.108,599872.4498247,exp_20260721_181129,4,7,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671904.108431,1784671904.108727,0.00029587745666503906,,,0,0,0
2026-07-21T18:11:44.109,599872.4512008,exp_20260721_181129,4,7,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9694583415985107,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671904.10975,1784671904.4029706,0.29322052001953125,0.29322052001953125,,0,0,0
2026-07-21T18:11:44.403,599872.745403,exp_20260721_181129,4,7,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,2fb8f411a58f54f6630e733aac7f61acfaabf32f3ee29299eb5c0e26ea4da8dd,1,1,,,1784671904.404036,1784671904.5044382,0.1004021167755127,,0.1004021167755127,0,0,0
2026-07-21T18:11:46.100,599874.442488,exp_20260721_181129,4,8,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671906.1015089,1784671906.1025972,0.0010883808135986328,,,0,0,0
2026-07-21T18:11:46.105,599874.4475561,exp_20260721_181129,4,8,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9599438905715942,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671906.1064646,1784671906.4015265,0.2950618267059326,0.2950618267059326,,0,0,0
2026-07-21T18:11:46.402,599874.744112,exp_20260721_181129,4,8,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,0fdb3dee1f918eea1105914e91e87ac9308be5c8a9a41e7684bb80b118abfdbd,1,1,,,1784671906.4028175,1784671906.5034523,0.10063481330871582,,0.10063481330871582,0,0,0
2026-07-21T18:11:48.011,599876.3531671,exp_20260721_181129,4,9,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671908.0117865,1784671908.0120814,0.0002949237823486328,,,0,0,0
2026-07-21T18:11:48.013,599876.3545887,exp_20260721_181129,4,9,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8921594023704529,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671908.0131562,1784671908.3035812,0.29042506217956543,0.29042506217956543,,0,0,0
2026-07-21T18:11:48.304,599876.6459111,exp_20260721_181129,4,9,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,10f74efee45f33d385d2aa7fdb66cf8957c24ab5fcd10fe8aad79c307da890e1,1,1,,,1784671908.3045423,1784671908.404981,0.10043859481811523,,0.10043859481811523,0,0,0
2026-07-21T18:11:49.956,599878.297884,exp_20260721_181129,4,10,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671909.9568057,1784671909.957337,0.0005311965942382812,,,0,0,0
2026-07-21T18:11:49.958,599878.2996542,exp_20260721_181129,4,10,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7612221240997314,0.015625,0.140625,0.015625,0.028125,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671909.958224,1784671910.2506514,0.29242730140686035,0.29242730140686035,,0,0,0
2026-07-21T18:11:50.251,599878.5928832,exp_20260721_181129,4,10,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,8ba837a7d124b2592d9258e45ccb0ea500daba7257089a1c69255a6154e872e5,1,1,,,1784671910.251593,1784671910.351963,0.10036993026733398,,0.10036993026733398,0,0,0
2026-07-21T18:11:52.050,599880.3920176,exp_20260721_181129,4,11,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671912.050661,1784671912.0509632,0.0003020763397216797,,,0,0,0
2026-07-21T18:11:52.051,599880.3932509,exp_20260721_181129,4,11,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.838923990726471,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784671912.0518208,1784671912.3479912,0.2961704730987549,0.2961704730987549,,0,0,0
2026-07-21T18:11:52.348,599880.6903307,exp_20260721_181129,4,11,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,6545dca9cb4daea05737cfb212cd9356df150a063b9aa625d6a491381358a490,1,1,,,1784671912.3490431,1784671912.4493835,0.10034036636352539,,0.10034036636352539,0,0,0
2026-07-21T18:11:54.296,599882.6382301,exp_20260721_181129,4,12,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784671914.2971606,1784671914.2981162,0.0009555816650390625,,,0,0,0
