artifact_type,path
csv,tables/data_quality/file_inventory.csv
csv,tables/data_quality/duplicate_files.csv
csv,tables/data_quality/component_run_registry.csv
csv,experiment_metadata_template.csv
csv,tables/data_quality/run_match_candidates.csv
csv,tables/data_quality/run_bundle_registry.csv
csv,tables/metric_file_field_catalog.csv
csv,tables/rq3/bundle_0152_modified_update_geometry.csv
csv,tables/rq3/bundle_0158_modified_update_geometry.csv
csv,tables/rq3/bundle_0164_modified_update_geometry.csv
csv,tables/rq3/bundle_0170_modified_update_geometry.csv
csv,tables/rq3/bundle_0177_modified_update_geometry.csv
csv,tables/rq3/bundle_0183_modified_update_geometry.csv
csv,tables/rq3/bundle_0184_modified_update_geometry.csv
csv,tables/rq3/bundle_0186_modified_update_geometry.csv
csv,tables/rq3/bundle_0200_modified_update_geometry.csv
csv,tables/rq3/bundle_0201_modified_update_geometry.csv
csv,tables/rq3/bundle_0202_modified_update_geometry.csv
csv,tables/rq3/bundle_0208_modified_update_geometry.csv
csv,tables/rq3/bundle_0210_modified_update_geometry.csv
csv,tables/rq3/bundle_0221_modified_update_geometry.csv
csv,tables/rq3/bundle_0227_modified_update_geometry.csv
csv,tables/rq3/bundle_0233_modified_update_geometry.csv
csv,tables/rq3/bundle_0235_modified_update_geometry.csv
csv,tables/rq3/bundle_0243_modified_update_geometry.csv
csv,tables/rq3/bundle_0250_modified_update_geometry.csv
csv,tables/rq3/bundle_0255_modified_update_geometry.csv
csv,tables/rq3/bundle_0257_modified_update_geometry.csv
csv,tables/rq3/bundle_0267_modified_update_geometry.csv
csv,tables/rq3/bundle_0269_modified_update_geometry.csv
csv,tables/rq3/bundle_0278_modified_update_geometry.csv
csv,tables/rq3/bundle_0284_modified_update_geometry.csv
csv,tables/rq3/bundle_0290_modified_update_geometry.csv
csv,tables/rq3/bundle_0296_modified_update_geometry.csv
csv,tables/rq3/bundle_0297_modified_update_geometry.csv
csv,tables/rq3/bundle_0302_modified_update_geometry.csv
csv,tables/rq3/bundle_0309_modified_update_geometry.csv
csv,tables/rq3/bundle_0315_modified_update_geometry.csv
csv,tables/rq1/bundle_0320_aligned_phase_predictions.csv
csv,tables/rq1/bundle_0320_phase_confusion_counts.csv
png,figures/rq1_bundle_0320_phase_confusion.png
pdf,figures/rq1_bundle_0320_phase_confusion.pdf
eps,figures/rq1_bundle_0320_phase_confusion.eps
csv,tables/rq2/bundle_0320_upload_trigger_alignment.csv
csv,tables/rq3/bundle_0342_modified_update_geometry.csv
csv,tables/rq3/bundle_0358_modified_update_geometry.csv
csv,tables/rq3/bundle_0365_modified_update_geometry.csv
csv,tables/rq3/bundle_0371_modified_update_geometry.csv
csv,tables/rq3/bundle_0372_modified_update_geometry.csv
csv,tables/rq3/bundle_0379_modified_update_geometry.csv
csv,tables/rq3/bundle_0382_modified_update_geometry.csv
csv,tables/rq3/bundle_0383_modified_update_geometry.csv
csv,tables/rq3/bundle_0385_modified_update_geometry.csv
csv,tables/rq3/bundle_0400_modified_update_geometry.csv
csv,tables/rq3/bundle_0402_modified_update_geometry.csv
csv,tables/rq3/bundle_0404_modified_update_geometry.csv
csv,tables/rq3/bundle_0412_modified_update_geometry.csv
csv,tables/rq3/bundle_0415_modified_update_geometry.csv
csv,tables/rq3/bundle_0425_modified_update_geometry.csv
csv,tables/rq3/bundle_0433_modified_update_geometry.csv
csv,tables/rq3/bundle_0434_modified_update_geometry.csv
csv,tables/rq3/bundle_0435_modified_update_geometry.csv
csv,tables/rq3/bundle_0436_modified_update_geometry.csv
csv,tables/rq3/bundle_0437_modified_update_geometry.csv
csv,tables/rq3/bundle_0439_modified_update_geometry.csv
csv,tables/rq3/bundle_0441_modified_update_geometry.csv
csv,tables/rq3/bundle_0443_modified_update_geometry.csv
csv,tables/rq3/bundle_0447_modified_update_geometry.csv
csv,tables/rq3/bundle_0448_modified_update_geometry.csv
csv,tables/rq3/bundle_0449_modified_update_geometry.csv
csv,tables/rq3/bundle_0450_modified_update_geometry.csv
csv,tables/rq3/bundle_0451_modified_update_geometry.csv
csv,tables/rq3/bundle_0452_modified_update_geometry.csv
csv,tables/rq3/bundle_0453_modified_update_geometry.csv
csv,tables/rq3/bundle_0454_modified_update_geometry.csv
csv,tables/rq3/bundle_0457_modified_update_geometry.csv
csv,tables/rq3/bundle_0460_modified_update_geometry.csv
csv,tables/rq3/bundle_0461_modified_update_geometry.csv
csv,tables/rq3/bundle_0511_modified_update_geometry.csv
csv,tables/rq3/bundle_0516_modified_update_geometry.csv
csv,tables/rq3/bundle_0517_modified_update_geometry.csv
csv,tables/rq3/bundle_0525_modified_update_geometry.csv
csv,tables/rq3/bundle_0532_modified_update_geometry.csv
csv,tables/rq3/bundle_0536_modified_update_geometry.csv
csv,tables/rq3/bundle_0540_modified_update_geometry.csv
csv,tables/rq3/bundle_0546_modified_update_geometry.csv
csv,tables/rq3/bundle_0550_modified_update_geometry.csv
csv,tables/rq3/bundle_0556_modified_update_geometry.csv
csv,tables/rq3/bundle_0561_modified_update_geometry.csv
csv,tables/rq3/bundle_0566_modified_update_geometry.csv
csv,tables/rq3/bundle_0570_modified_update_geometry.csv
csv,tables/rq1/bundle_0575_aligned_phase_predictions.csv
csv,tables/rq1/bundle_0575_phase_confusion_counts.csv
png,figures/rq1_bundle_0575_phase_confusion.png
pdf,figures/rq1_bundle_0575_phase_confusion.pdf
eps,figures/rq1_bundle_0575_phase_confusion.eps
